,Name,Chance of playing this round,Chance of playing next round,code,Position,Live cost,PPG,GWPoints,Percentage owned,Team,Total points,Minutes Played,Goals Scored,Assists,Clean sheets,Goals Conceded,Penalties Saved,Penalties Missed,Yellow Cards,Saves,Bonus,ICT,Fixture_Strength,Result_Strength,Predicted Points
110,James Tarkowski,100.0,100.0,17761,2,53,2.9,1,2.4,4,85,2610,0,0,9,37,0,0,4,0,6,99.1,0,0,0
111,Phil Bardsley,100.0,100.0,17997,2,44,0.5,0,0.2,4,2,273,0,0,0,8,0,0,2,0,0,5.9,0,0,0
112,Erik Pieters,75.0,100.0,39487,2,43,2.5,1,0.4,4,50,1260,0,3,3,19,0,0,1,0,5,34.0,0,0,0
113,Jack Cork,100.0,100.0,40145,3,50,2.0,0,0.0,4,18,735,0,0,2,12,0,0,1,0,0,18.9,0,0,0
114,Kevin Long,0.0,0.0,41674,2,43,1.8,0,0.1,4,14,636,0,0,1,13,0,0,2,0,1,14.0,0,0,0
115,Jay Rodriguez,100.0,100.0,44683,4,58,1.9,0,0.4,4,48,1132,1,3,4,22,0,0,3,0,2,54.0,0,0,0
116,Ashley Barnes,0.0,0.0,44699,4,60,2.7,0,0.2,4,48,1290,3,0,6,17,0,0,4,0,7,88.1,0,0,0
117,Ben Mee,100.0,100.0,51927,2,49,3.7,1,3.0,4,88,2153,2,0,8,29,0,0,2,0,7,83.9,0,0,0
118,Ashley Westwood,100.0,100.0,60551,3,53,2.6,2,0.4,4,81,2780,1,3,9,42,0,0,6,0,2,119.1,0,0,0
119,Johann Berg Gudmundsson,100.0,100.0,60586,3,54,2.5,2,0.0,4,43,1058,2,0,3,16,0,0,1,0,3,40.2,0,0,0
120,Chris Wood,100.0,100.0,60689,4,63,3.8,5,2.0,4,98,2147,7,2,7,32,0,0,0,0,13,137.5,0,0,0
121,Matthew Lowton,100.0,100.0,68983,2,44,3.1,1,2.4,4,84,2430,1,0,8,34,0,0,4,0,6,80.3,0,0,0
122,Matej Vydra,100.0,100.0,81183,4,48,2.3,7,1.6,4,48,1036,3,1,1,18,0,0,0,0,2,69.7,0,0,0
123,Ben Gibson,0.0,0.0,83312,2,39,0.0,0,0.1,4,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
124,Robbie Brady,0.0,0.0,90517,3,50,2.3,0,0.1,4,44,1047,1,1,7,6,0,0,3,0,3,47.2,0,0,0
125,Nick Pope,100.0,75.0,98747,1,55,4.5,0,12.2,4,130,2610,0,0,9,35,0,0,1,107,20,80.6,0,0,0
126,Charlie Taylor,100.0,100.0,103914,2,44,2.9,0,1.4,4,64,1795,0,2,6,29,0,0,1,0,3,58.0,0,0,0
127,Josh Brownhill,100.0,100.0,172782,3,49,2.2,1,0.0,4,56,2230,0,0,8,30,0,0,2,0,0,77.7,0,0,0
128,Bailey Peacock-Farrell,100.0,100.0,220037,1,40,0.5,1,1.1,4,1,180,0,0,0,7,0,0,0,3,0,2.5,0,0,0
129,Dwight McNeil,100.0,100.0,433154,3,57,3.1,2,0.4,4,89,2496,2,3,9,39,0,0,1,0,6,129.7,0,0,0
130,Jimmy Dunne,100.0,100.0,218023,2,38,4.0,0,4.3,4,8,180,1,0,0,5,0,0,0,0,0,12.6,0,0,0
131,Bobby Thomas,0.0,0.0,461102,2,39,0.0,0,0.4,4,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
132,Josh Benson,,,217401,3,45,1.7,0,0.0,4,10,260,0,0,1,7,0,0,0,0,0,3.7,0,0,0
133,Anthony Driscoll-Glennon,,,195471,2,39,0.0,0,0.1,4,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
134,Mace Goodridge,0.0,0.0,195064,3,45,0.0,0,0.0,4,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
135,Will Norris,,,168399,1,40,0.0,0,0.1,4,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
136,Max Thompson,,,461450,4,45,0.0,0,0.1,4,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
137,Lewis Richardson,,,461096,4,45,1.0,0,0.1,4,2,3,0,0,0,0,0,0,0,0,0,0.0,0,0,0
138,Anthony Mancini,,,465299,3,44,0.0,0,0.0,4,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
139,Joel Mumbongo,,,430367,4,45,0.8,1,0.0,4,3,37,0,0,0,1,0,0,1,0,0,0.1,0,0,0
140,Richard Nartey,,,184259,2,40,0.0,0,0.0,4,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
141,Willy Caballero,,,20310,1,46,1.0,0,0.2,5,1,90,0,0,0,3,0,0,0,0,0,0.4,0,0,0
142,César Azpilicueta,,,41328,2,59,4.7,2,8.3,5,99,1760,1,1,12,15,0,0,4,0,10,84.1,0,0,0
143,Olivier Giroud,100.0,100.0,44346,4,67,3.1,0,1.2,5,44,701,4,0,4,5,0,0,1,0,6,62.8,0,0,0
144,Marcos Alonso,,,82263,2,57,4.2,0,2.9,5,42,793,1,1,4,12,0,0,2,0,5,61.4,0,0,0
145,Jorge Luiz Frello Filho,100.0,100.0,85955,3,47,4.4,3,4.7,5,96,1565,6,2,12,13,0,2,0,0,12,91.3,0,0,0
146,Mateo Kovacic,100.0,50.0,91651,3,53,2.1,2,0.3,5,52,1686,0,1,9,23,0,0,3,0,0,82.5,0,0,0
147,Antonio Rüdiger,,,102380,2,47,4.7,2,6.1,5,66,1260,0,0,9,6,0,0,0,0,5,49.6,0,0,0
148,Kurt Zouma,100.0,100.0,103192,2,53,4.9,8,8.0,5,94,1710,5,0,7,24,0,0,1,0,6,85.0,0,0,0
149,Emerson Palmieri dos Santos,,,109533,2,47,3.5,0,0.1,5,7,88,0,0,1,0,0,0,0,0,0,2.7,0,0,0
150,Kepa Arrizabalaga,100.0,100.0,109745,1,47,3.8,0,0.5,5,15,360,0,0,1,6,0,0,0,12,2,7.8,0,0,0
151,N'Golo Kanté,100.0,100.0,116594,3,49,2.2,1,2.3,5,56,1928,0,2,9,23,0,0,6,0,0,82.0,0,0,0
152,Hakim Ziyech,100.0,100.0,124183,3,79,3.1,1,2.1,5,52,890,1,3,8,6,0,0,3,0,6,86.2,0,0,0
153,Andreas Christensen,100.0,100.0,135363,2,47,3.1,0,1.3,5,40,1056,0,0,5,16,0,0,1,0,6,32.5,0,0,0
154,Timo Werner,100.0,100.0,165153,4,92,3.7,0,10.7,5,106,2129,5,9,11,25,0,0,0,0,7,185.6,0,0,0
155,Tammy Abraham,100.0,100.0,173879,4,71,3.4,0,2.0,5,67,1014,6,2,5,12,0,0,0,0,8,85.1,0,0,0
156,Christian Pulisic,100.0,100.0,176413,3,82,3.1,15,2.3,5,65,1208,4,2,5,16,0,0,2,0,3,107.3,0,0,0
157,Mason Mount,,,184341,3,72,4.3,6,18.6,5,129,2362,6,6,11,28,0,0,2,0,16,251.3,0,0,0
158,Fikayo Tomori,0.0,0.0,194794,2,47,0.0,0,0.2,5,0,45,0,0,0,2,0,0,0,0,0,2.7,0,0,0
159,Callum Hudson-Odoi,100.0,100.0,209046,3,57,2.8,5,0.4,5,56,968,2,3,6,5,0,0,0,0,2,100.7,0,0,0
160,Reece James,100.0,100.0,225796,2,50,3.6,4,6.6,5,91,1823,1,3,7,24,0,0,3,0,14,134.2,0,0,0
161,Billy Gilmour,100.0,100.0,243568,3,43,1.0,0,0.1,5,2,34,0,0,0,0,0,0,0,0,0,1.5,0,0,0
162,Benjamin Chilwell,100.0,100.0,172850,2,58,4.8,2,12.7,5,106,1846,2,4,10,19,0,0,3,0,7,113.7,0,0,0
163,Thiago Thiago,0.0,100.0,51090,2,56,4.1,0,2.5,5,73,1485,2,0,8,21,0,0,3,0,8,64.8,0,0,0
164,Kai Havertz,100.0,100.0,219847,3,82,3.0,10,3.1,5,69,1268,2,6,6,14,0,0,2,0,0,89.7,0,0,0
165,Edouard Mendy,100.0,100.0,228286,1,52,4.4,2,10.3,5,115,2340,0,0,14,22,0,0,0,46,5,38.2,0,0,0
166,Karlo Ziger,,,431019,1,40,0.0,0,0.6,5,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
167,Faustino Anjorin,,,223332,3,45,0.0,0,0.0,5,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
168,Michy Batshuayi,0.0,100.0,94245,4,57,2.4,0,0.6,6,40,699,2,2,2,14,0,0,0,0,2,44.9,0,0,0
169,Gary Cahill,100.0,100.0,19419,2,45,2.4,0,0.2,6,39,1440,1,0,3,32,0,0,3,0,4,43.8,0,0,0
170,Wayne Hennessey,100.0,100.0,20066,1,43,0.0,0,0.3,6,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
171,Mamadou Sakho,0.0,0.0,40784,2,44,1.0,0,0.1,6,4,275,0,0,0,8,0,0,0,0,0,4.5,0,0,0
172,Vicente Guaita,,,40836,1,48,3.5,1,2.9,6,110,2790,0,0,7,52,1,0,2,97,15,73.4,0,0,0
173,James Tomkins,0.0,0.0,49413,2,44,3.0,0,0.0,6,15,387,0,0,2,8,0,0,1,0,2,7.6,0,0,0
174,James McArthur,0.0,0.0,50471,3,52,2.5,0,0.1,6,45,1465,0,2,4,26,0,0,3,0,3,55.2,0,0,0
175,James McCarthy,100.0,100.0,50472,3,43,1.6,1,0.7,6,19,569,0,0,2,10,0,0,1,0,0,14.5,0,0,0
176,Christian Benteke,100.0,100.0,54861,4,55,3.1,8,0.8,6,74,1316,6,2,4,24,0,0,0,0,9,116.2,0,0,0
177,Cheikhou Kouyaté,,,55037,3,48,2.4,1,0.3,6,70,2493,1,0,7,42,0,0,1,0,2,67.4,0,0,0
178,Joel Ward,100.0,100.0,55494,2,43,2.9,0,0.7,6,56,1625,0,1,6,29,0,0,3,0,6,39.3,0,0,0
179,Martin Kelly,100.0,100.0,58786,2,41,0.0,0,0.2,6,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
180,Connor Wickham,25.0,25.0,59125,4,44,0.0,0,0.6,6,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
181,Andros Townsend,,,60252,3,55,2.8,1,1.1,6,77,1813,1,4,6,27,0,0,0,0,6,114.3,0,0,0
182,Luka Milivojevic,100.0,100.0,66975,3,56,2.1,2,0.3,6,57,2031,1,1,6,41,0,0,7,0,3,72.3,0,0,0
183,Patrick van Aanholt,100.0,100.0,74230,2,54,2.6,0,0.4,6,52,1683,0,2,4,34,0,0,2,0,5,67.2,0,0,0
184,Jordan Ayew,100.0,100.0,80146,4,56,2.3,2,1.5,6,63,1814,1,4,6,35,0,0,2,0,2,83.4,0,0,0
185,Wilfried Zaha,100.0,100.0,82403,3,71,4.9,2,8.5,6,113,1982,9,4,5,38,0,0,4,0,11,152.0,0,0,0
186,Jeffrey Schlupp,100.0,100.0,86417,3,53,2.8,4,0.1,6,55,1073,2,3,4,19,0,0,2,0,3,70.4,0,0,0
187,Max Meyer,0.0,0.0,141020,3,47,0.0,0,0.0,6,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
188,Jairo Riedewald,100.0,100.0,173954,3,44,2.1,1,0.7,6,57,1460,2,0,4,28,0,0,2,0,4,44.7,0,0,0
189,Nathan Ferguson,25.0,25.0,232423,2,38,0.0,0,0.5,6,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
190,Tyrick Mitchell,100.0,100.0,244723,2,38,2.7,0,11.6,6,35,1170,0,1,3,20,0,0,1,0,2,29.4,0,0,0
191,Brandon Pierrick,0.0,0.0,466955,3,43,0.0,0,0.1,6,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
