,Name,code,Team,Chance of playing next round,Predicted Points,Live cost
274,Ricardo Domingos Barbosa Pereira,111931,9,100.0,[0.7389485848603887],5.9
275,Daniel Amartey,155569,9,100.0,[0.13529449697364893],3.9
284,Filip Benkovic,213405,9,0.0,[-0.11923234545666261],4.3
285,Çaglar Söyüncü,218031,9,100.0,[1.270426164028948],5.3
286,James Justin,220627,9,0.0,[4.735798766058976],5.0
287,Luke Thomas,244619,9,,[0.03826575683677458],4.2
288,Timothy Castagne,166477,9,100.0,[2.2496484139422734],5.7
291,Wesley Fofana,444463,9,0.0,[1.9937804301577102],5.0
293,Vontae Daley-Campbell,232229,9,,[-0.11923234545666261],4.0
297,Liam Cooper,55914,10,100.0,[3.3639461836579487],4.3
298,Barry Douglas,57913,10,0.0,[0.017820869825141195],3.8
299,Luke Ayling,66588,10,,[4.128328274577828],4.4
302,Stuart Dallas,87873,10,,[6.136364736788609],5.0
303,Ezgjan Alioski,105377,10,100.0,[4.072962158624952],4.4
313,Pascal Struijk,222694,10,,[2.696717245849601],4.0
316,Leif Davis,455084,10,,[0.07692432719524289],3.9
317,Oliver Casey,467114,10,,[0.017820869825141195],3.9
318,Robin Koch,193645,10,0.0,[2.2065097986735944],4.3
322,Diego Llorente,149915,10,100.0,[0.428309101075282],4.4
326,Charlie Cresswell,492373,10,,[0.017820869825141195],4.0
329,Konstantinos Tsimikas,214285,11,100.0,[0.3213900676064836],4.9
333,Joel Matip,60914,11,0.0,[1.8510705267381842],5.4
337,Virgil van Dijk,97032,11,0.0,[1.4467849844578846],6.3
342,Andrew Robertson,122798,11,100.0,[4.752224309953644],7.2
345,Trent Alexander-Arnold,169187,11,100.0,[3.9478403622802682],7.4
346,Joseph Gomez,171287,11,0.0,[1.073616330715041],5.2
349,Neco Williams,215136,11,,[0.5223148854216539],3.8
354,Nathaniel Phillips,197464,11,,[0.7742481354594202],4.0
355,Rhys Williams,219937,11,100.0,[0.42337501794486476],4.0
358,Ozan Kabak,438277,11,,[0.31813235906941273],5.0
359,Ben Davies,152898,11,100.0,[0.278221978860568],4.9
360,Fernando Luiz Rosa,27789,12,100.0,[1.481327985448209],5.4
